               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,             0.02006,           0.0053636,                   0,             0.91458,             0.75141,             0.83837,             0.39273,            0.042134,           0.0077268,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.020517,           0.0050315,                   0,             0.93561,             0.74561,             0.83332,             0.38738,             0.04292,           0.0077374,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.019868,           0.0050245,                   0,             0.92703,             0.74561,             0.83062,             0.38581,            0.042313,           0.0077283,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.020084,           0.0048779,                   0,             0.93445,             0.74561,             0.83053,             0.37199,            0.042843,           0.0075903,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.019631,            0.005138,                   0,             0.94434,             0.74413,             0.83356,             0.37666,            0.042328,           0.0074678,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.019667,           0.0050428,                   0,             0.93471,             0.75348,             0.84275,             0.38794,            0.042517,           0.0073912,                   0,            0.002872,            0.002872,            0.002872
                 110,             0.01872,           0.0051363,                   0,             0.94454,             0.74698,             0.83959,             0.40146,            0.042182,           0.0073473,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.019684,           0.0048854,                   0,             0.94081,             0.77193,              0.8492,             0.40734,            0.042099,           0.0074312,                   0,             0.00274,             0.00274,             0.00274
                 112,             0.01926,           0.0048774,                   0,             0.95606,             0.77193,             0.85163,             0.38916,             0.04212,           0.0074664,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.019693,            0.004963,                   0,             0.92985,             0.76316,             0.84675,              0.3911,            0.043091,           0.0076247,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.018553,           0.0050513,                   0,             0.91666,             0.77184,             0.84401,             0.38844,            0.041277,           0.0076111,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.018599,           0.0052503,                   0,             0.91558,             0.77193,             0.84165,              0.3743,            0.041479,           0.0075541,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.018886,           0.0046324,                   0,             0.91754,             0.76316,             0.83291,             0.37992,            0.041109,           0.0075397,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.018334,           0.0047995,                   0,             0.91023,             0.75439,             0.82554,             0.39441,            0.041132,           0.0075029,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.017895,            0.004652,                   0,             0.92303,             0.75439,             0.84628,             0.39705,            0.041314,           0.0075794,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.018152,           0.0048493,                   0,              0.9224,             0.75439,             0.83816,             0.37602,             0.04273,            0.007662,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.018959,           0.0047626,                   0,             0.93439,             0.74957,             0.84645,             0.39523,            0.042096,           0.0076083,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.018943,           0.0046554,                   0,             0.94538,              0.7591,             0.84216,             0.37207,             0.04242,           0.0076097,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.017874,           0.0051716,                   0,             0.94554,             0.76146,             0.84616,             0.39756,            0.041308,           0.0076411,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.017623,           0.0048836,                   0,             0.95472,              0.7398,             0.84237,             0.38347,            0.041906,           0.0076565,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.018207,           0.0046492,                   0,             0.91743,             0.76316,             0.84183,             0.36923,            0.042248,           0.0077066,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.017329,           0.0048616,                   0,             0.92561,             0.76402,              0.8459,             0.37435,            0.042129,           0.0077294,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.017884,           0.0048821,                   0,             0.91678,             0.77311,             0.84835,             0.37879,            0.041825,           0.0076485,                   0,             0.00175,             0.00175,             0.00175
                 127,               0.018,           0.0047983,                   0,             0.91657,             0.77193,             0.84434,              0.3749,            0.041613,            0.007574,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.017934,           0.0048356,                   0,             0.94544,             0.76011,             0.84522,             0.38451,            0.041456,           0.0075419,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.017668,           0.0048005,                   0,             0.91501,             0.75549,             0.83673,             0.40926,             0.04038,           0.0075053,                   0,            0.001552,            0.001552,            0.001552
                 130,             0.01738,           0.0047991,                   0,             0.92609,              0.7807,             0.83973,              0.3941,            0.041089,           0.0075195,                   0,            0.001486,            0.001486,            0.001486
